empresa;placa;modelo;situacao_veiculo;filial_operacional
REFERÊNCIA;TIY5F00;CRETA COMFORT 1.0 TB 12V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJA0A78;POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJB7G44;DUSTER ICONIC PLUS 1.3 TB 16V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJF4H55;HB20S COMFORT PLUS 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJF8D32;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJG5I35;YARIS S 1.5 FLEX 16V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJH4C14;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJI4I83;SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJJ3B42;YARIS XL 1.3 FLEX 16V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJR5A68;YARIS S 1.5 FLEX 16V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJS4A02;T-CROSS 200 TSI 1.0  FLEX 12V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJT9D47;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJV4F96;DUSTER INTENSE 1.6 16V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJX2C96;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TJZ3D41;YARIS XL 1.3 FLEX 16V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKA8C07;SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKC1B19;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKE0A94;VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKE1H53;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKE6E44;HB20 SENSE 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKF7I24;KARDIAN EVOLUT. FLEX 1.0 TB 12V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TKP7C19;HB20 COMF. PLUS TECH 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TLA2D27;VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TLB1E80;HB20 SENSE 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TLC0A61;YARIS S 1.5 FLEX 16V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TLC1F74;KARDIAN EVOLUT. FLEX 1.0 TB 12V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TLC2F40;POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TLG6E53;HB20 SENSE 1.0 TURBO FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TMB3G90;SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TME7F55;KARDIAN EVOLUT. FLEX 1.0 TB 12V 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXB7F67;S10 P-UP 2.8/SERT. 2.8 4X4 TB INT. DIES.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXD1A58;HB20 PLATINUM 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXI1I66;Tera Comfort 1.0 170 TSI Flex 12V 5p Aut;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXJ0I76;HB20 LIMITED 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXL8F76;SPIN PREMIER 1.8 8V ECONO.FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXQ4E49;SENTRA ADVANCE 2.0 16V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXQ6A85;SENTRA EXCLUSIVE 2.0 16V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXS0J29;COMMANDER LIMITED T270 1.3 TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXV8A14;HB20S COMFORT 1.0  FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TXZ6I08;208 ALLURE 1.0 TUBO FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TYF0C42;HB20S LIMITED 1.0  FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TYP2B54;VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TYT7B08;PULSE DRIVE 1.3 8V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TYU8F74;VERSA EXCLUSIVE 1.6 16V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TYV1D60;FASTBACK AUDACE 1.0 200 T. FLEX AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TYW3H59;ONIX HATCH LT 1.0 12V TB FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TZD3D79;FASTBACK AUDACE 1.0 200 T. FLEX AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TZD6E58;Tera Comfort 1.0 170 TSI Flex 12V 5p Aut;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TZH5D68;PULSE DRIVE 1.3 8V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TZI8J91;HB20 LIMITED 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;TZK0D73;CRONOS DRIVE 1.3 8V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAS4B75;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAS5D80;DUSTER ZEN 1.6 16V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAS9E71;POLO SENSE 200 TSI 1.0 FLEX 12V AUT;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAT1G78;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAU2J43;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAU5B87;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAX1A32;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAY2F59;SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAY8A48;HB20 LIMITED 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAZ1E47;HB20 SENSE 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UAZ2I70;Tera Comfort 1.0 170 TSI Flex 12V 5p Aut;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBA6C86;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBA7B24;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBA8I46;VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBB4G80;DUSTER INTENSE 1.6 16V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBC8E94;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBH6A56;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBH6A57;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7B89;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7B91;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7B94;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7C05;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7C09;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7C12;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7C13;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBI7C17;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBO9C57;KICKS SENSE 1.6 16V FLEX AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBO9G27;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBV3D08;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBV6F14;COROLLA CROSS XRX 2.0 16V FLEX AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBV8G56;ONIX HATCH 1.0 12V TB FLEX 5P AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBV8G60;ONIX HATCH 1.0 12V TB FLEX 5P AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBV8G62;ONIX HATCH 1.0 12V TB FLEX 5P AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBW1E69;AIRCROSS FEEL 1.6 FLEX 16V 5P AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBX2C32;HB20 COMFORT 1.0 TB FLEX 12V AUT;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBX3E75;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UBY5C62;HB20S COMFORT 1.0 TB FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCB7F15;FIORINO ENDURANCE 1.3 FLEX 8V 2P;RESERVADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCB7F16;FIORINO ENDURANCE 1.3 FLEX 8V 2P;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCG0I29;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCG0I65;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCG0I67;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCG0I68;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCG3J20;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCH4I50;C3 YOU! 1.0 FLEX TURBO 200 AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCH4I53;C3 YOU! 1.0 FLEX TURBO 200 AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCH4I55;C3 YOU! 1.0 FLEX TURBO 200 AUT.;EM MOBILIZAÇÃO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCH4I58;C3 YOU! 1.0 FLEX TURBO 200 AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCH4J73;OROCH PRO 1.6 FLEX 16V MEC.;EM MOBILIZAÇÃO;REFERÊNCIA CURITIBA
REFERÊNCIA;UCL1C59;COROLLA XEI 2.0 FLEX 16V AUT.;LOCADO;REFERÊNCIA CURITIBA
REFERÊNCIA;UFD5F66;SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.;DEVOLVIDO;REFERÊNCIA CURITIBA
REFERÊNCIA;BDB6E34;SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;JBJ4B85;SPRINTER 417 FURGÃO L.T.A. DIESEL (E6);DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;RHX2I65;HB20 SENSE 1.0 FLEX 12V MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;RHZ6C46;ONIX HATCH LT 1.0 12V FLEX 5P MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SDT7C30;YARIS XL 1.3 FLEX 16V 5P MEC.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SDU9G50;SPRINTER 416 VAN L. T.A. 16L 2.2 DIESEL;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SFB3A92;HB20 SENSE 1.0 FLEX 12V MEC.;DISPONÍVEL;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SFG3J15;POLO TRACK 1.0 FLEX 12V 5P;DISPONÍVEL PARA VENDA;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SSS1B89;NIVUS HIGHLINE 1.0 200 TSI FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;STA0D67;T-CROSS 1.0 TSI FLEX 12V 5P AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;STE3E05;NIVUS COMFORTLINE 1.0 200 TSI FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SUB3D85;CRETA COMFORT PLUS 1.0 TB 12V FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SVX1F43;CRETA COMFORT 1.0 TB 12V FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SVX1F73;CRETA COMFORT PLUS 1.0 TB 12V FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SWJ3J12;NIVUS HIGHLINE 1.0 200 TSI FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;SWJ3J15;NIVUS HIGHLINE 1.0 200 TSI FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAI6J78;RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAI7E92;RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAI7H09;RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAN9H45;SAVEIRO ROBUST 1.6 TOTAL FLEX 16V;DISPONÍVEL PARA VENDA;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAP3F92;ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAP4G63;ONIX SEDAN PLUS LT 1.0 12V TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAR2E63;ARGO DRIVE 1.3 8V FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAR2E86;ARGO DRIVE 1.3 8V FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAT8D41;CRONOS DRIVE 1.3 8V FLEX;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TAZ4J12;ARGO DRIVE 1.3 8V FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TBB9F71;ONIX HATCH LT 1.0 12V TB FLEX 5P AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TBB9F73;ONIX HATCH LT 1.0 12V TB FLEX 5P AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TBJ5D86;HB20 COMFORT 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TDT1A31;PULSE AUDACE 1.0 TURBO 200 FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TED4A41;ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TJS6H93;POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TJU5A40;NIVUS COMFORTLINE 1.0 200 TSI FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TXG4A83;ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TXI3H76;ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TXO7B65;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;TYB8E02;ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX MEC.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UAS9E69;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UAS9E73;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UAZ8G83;HB20 LIMITED 1.0 FLEX 12V MEC.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UBS5H44;MOBI LIKE 1.0 FIRE FLEX 5P.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UBU8A41;ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UBU8A43;ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.;DEVOLVIDO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UBV3D02;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UBV3D16;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UCG0I66;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UCG0I69;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UCG0I71;ONIX SEDAN PLUS 1.0 12V TB FLEX AUT.;RESERVADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UCH4I63;C3 YOU! 1.0 FLEX TURBO 200 AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;UCH5F64;C3 YOU! 1.0 FLEX TURBO 200 AUT.;LOCADO;REFERÊNCIA FOZ DO IGUAÇU
REFERÊNCIA;AUQ5G55;SPRINTER 416 VAN L. T.B. 16L 2.2 DIESEL;USO INTERNO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;RHS2H75;DUSTER ZEN 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SDT5A84;STRADA FREEDOM 1.3 FLEX 8V  CS PLUS;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SDV2F44;DUSTER INTENSE 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SDV2F61;DUSTER INTENSE 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SEC0B43;ARGO 1.0 6V FLEX.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SED6I73;OROCH PRO 1.6 FLEX 16V MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SEK9C84;ARGO TREKKING 1.3 8V FLEX;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SEK9C91;ARGO TREKKING 1.3 8V FLEX;ROUBO / FURTO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SEP6I83;CRONOS DRIVE 1.3 8V FLEX AUT.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SER6J11;CRONOS DRIVE 1.0 6V FLEX;USO INTERNO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFA8I90;POLO TRACK 1.0 FLEX 12V 5P;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFA8J42;POLO TRACK 1.0 FLEX 12V 5P;LOCADO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFE6B36;OROCH PRO 1.6 FLEX 16V MEC.;LOCADO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFH0J73;STRADA FREEDOM 1.3 FLEX 8V CD;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFJ2H32;STRADA ENDURANCE 1.3 FLEX 8V CS;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFJ3G14;STRADA FREEDOM 1.3 FLEX 8V CD;EM DESMOBILIZAÇÃO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFJ4D37;ARGO 1.0 6V FLEX.;LOCADO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFK0I17;POLO TRACK 1.0 FLEX 12V 5P;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFK9A18;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E18;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E24;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E26;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E27;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;LOCADO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E29;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E30;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E32;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFL1E33;DUSTER INTENSE PLUS 1.6 16V FLEX MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFM7D46;STRADA ENDURANCE 1.3 FLEX 8V CS;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFM9E81;OROCH PRO 1.6 FLEX 16V MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;SFM9E84;OROCH PRO 1.6 FLEX 16V MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;TAK5J71;OROCH PRO 1.6 FLEX 16V MEC.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;TAK8J96;STRADA ENDURANCE 1.3 FLEX 8V CS;LOCADO;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;TAM3J40;ARGO 1.0 6V FLEX.;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
REFERÊNCIA;TAN3H66;STRADA ENDURANCE 1.3 FLEX 8V CS;DISPONÍVEL PARA VENDA;REFERÊNCIA GOIÂNIA LOJA
