26757 - SIM REDE - 0231-22 - SANTANA
23219957;03/07/2026 07:35;TRANSPORTES GRITSCH;90.739.624/0018-66;19.770.285/0001-78;POSTO DUME - XAVANTINA;SEH4I02;343401;64,425;ABASTECIMENTO;Diesel S10;467,08;R$ 7,25;-;2846160;10/07/2026 08:43;152130;001;51260719770285000178550010001521301881867238;
;;;;;;;;;;;TOTAL POSTO: 467,08;;;;;;;;

17576 - POSTO SAO PEDRO - REDE Z+Z
Transacao;Data;Cliente;CNPJ Cliente;CNPJ Posto;Estabelecimento;Placa;Hodometro/Horimetro;Litragem;Servico;Combustivel;Valor Total;Preco Litro;Preco Negociado;Lote;Data vinculacao;NF-e;Serie;Chave NF-e;Observacao
23236029;03/07/2026 15:07;TRANSPORTES GRITSCH;90.739.624/0019-47;50.780.684/0001-60;POSTO SAO PEDRO - REDE Z+Z;SFD2H38;102368;33,204;ABASTECIMENTO;Gasolina Comum;245,71;R$ 7,40;-;2846160;07/07/2026 17:19;5132;002;52260750780684000160550020000051321948867151;Processo de Estorno em Andamento - NF 10563
;;;;;;;;;;;TOTAL POSTO: 245,71;;;;;;;;


TOTAL GERAL
;;;;;;;;;;;TOTAL GERAL: 4400,19;;;;;;;;
