garagem;valor_notas_recolhidas;valor_abastecimento_cancelado;valor_credito_estorno;valor_a_pagar_com_notas_e_cancelados;valor_retido_sem_nota;total_liquido_garagem
GRITSCH - CWB (BASE);98951.22;0;0;98951.22;0;98951.22
GRITSCH - LDB;35387.09;2383.17;-2383.17;35387.09;0;35387.09
GRITSCH - GOI;23618.01;412.62;-412.62;23618.01;0;23618.01
GRITSCH - POA;23064.24;0;-579.62;22484.62;0;22484.62
GRITSCH - FLN;21621.62;0;0;21621.62;0;21621.62
GRITSCH - SAO (PERUS);19798.43;1940.36;-1940.36;19798.43;0;19798.43
GRITSCH - CTB;16072.14;0;0;16072.14;0;16072.14
GRITSCH - RVD;13730.28;0;0;13730.28;0;13730.28
GRITSCH - CHA;13478.59;0;0;13478.59;0;13478.59
GRITSCH - BLN;12887.98;0;0;12887.98;0;12887.98
GRITSCH - SNO;12646.67;0;0;12646.67;0;12646.67
GRITSCH - CSC;11959.39;0;0;11959.39;0;11959.39
GRITSCH - CGR;11646.24;0;0;11646.24;0;11646.24
GRITSCH - MGA;11518.97;0;-666.98;10851.99;0;10851.99
GRITSCH - RDN;10353.32;0;0;10353.32;454.52;10807.84
GRITSCH - CGB;9282.83;0;0;9282.83;0;9282.83
GRITSCH - PET;9228.05;0;-312.18;8915.87;0;8915.87
GRITSCH - MATRIZ;8835.91;0;0;8835.91;0;8835.91
GRITSCH - PMW;8472.91;0;0;8472.91;0;8472.91
GRITSCH - CRI;7135.20;0;0;7135.20;0;7135.20
GRITSCH - PGR;7498.15;0;-760.98;6737.17;0;6737.17
GRITSCH - CXJ;6444.37;374.09;-374.09;6444.37;0;6444.37
REFERENCIA CURITIBA;5843.40;0;0;5843.40;0;5843.40
GRITSCH - BSB;5685.30;0;0;5685.30;0;5685.30
GRITSCH - GPA;5305.99;0;-211.85;5094.14;0;5094.14
GRITSCH - PBC;3797.06;0;0;3797.06;0;3797.06
GRITSCH - CWB (DIR);1193.89;0;0;1193.89;0;1193.89
GRITSCH - JOI;1061.75;0;0;1061.75;0;1061.75
GRITSCH - SSA;319.76;0;0;319.76;0;319.76
(29 rows)
