garagem;abastecimento_cancelado_a_pagar;novas_notas_pos_corte_a_pagar;total_a_pagar_leva2;valor_retido_sem_nota
GRITSCH - LDB;2383.17;0.00;2383.17;0
GRITSCH - SAO (PERUS);1940.36;0.00;1940.36;0
GRITSCH - GOI;412.62;0.00;412.62;0
GRITSCH - CXJ;374.09;0.00;374.09;0
GRITSCH - RDN;0;0.00;0.00;454.52
(5 rows)
