garagem;abastecimento_cancelado_a_pagar;novas_notas_a_pagar;total_a_pagar_leva2;valor_retido_sem_nota
GRITSCH - LDB;320.84;74.95;395.79;0
GRITSCH - SNO;362.09;26.73;388.82;0
GRITSCH - POA;250.32;70.36;320.68;628.52
GRITSCH - GOI;217.44;51.68;269.12;0
GRITSCH - CWB (BASE);0;196.91;196.91;1076.34
GRITSCH - BSB;115.78;12.49;128.27;0
GRITSCH - FLN;0;53.60;53.60;0
GRITSCH - BLN;0;37.25;37.25;0
GRITSCH - SAO (PERUS);0;34.31;34.31;0
GRITSCH - CTB;0;33.59;33.59;0
GRITSCH - RVD;0;31.34;31.34;0
GRITSCH - CHA;0;31.26;31.26;0
GRITSCH - CSC;0;27.41;27.41;0
GRITSCH - RDN;0;23.68;23.68;0
GRITSCH - CGR;0;23.37;23.37;0
GRITSCH - MGA;0;22.42;22.42;0
GRITSCH - CGB;0;22.18;22.18;0
GRITSCH - MATRIZ;0;20.59;20.59;0
GRITSCH - CXJ;0;19.84;19.84;0
GRITSCH - PMW;0;16.92;16.92;0
GRITSCH - PET;0;16.72;16.72;0
GRITSCH - CRI;0;14.08;14.08;0
GRITSCH - PGR;0;12.20;12.20;0
REFERENCIA CURITIBA;0;9.55;9.55;0
GRITSCH - PBC;0;8.56;8.56;0
GRITSCH - GPA;0;8.40;8.40;0
GRITSCH - CWB (DIR);0;3.08;3.08;0
GRITSCH - JOI;0;2.69;2.69;0
GRITSCH - SSA;0;0.55;0.55;0
(29 rows)
